seq_id,scaled_frond_apex,scaled_frond_base,scaled_holdfast,scaled_pinnae,scaled_rachis,scaled_stolon,pc1,pc2,pc3,pc4,pc5,pc6,node,distance,node_factor,apex,base,holdfast,pinnae,rachis,stolon,apex1,base1,holdfast1,pinnae1,rachis1,stolon1
Ctaxi_contig_20045|comp33313_c1_seq1,-1.166420768,1.654966684,-0.162919428,-0.287833165,-0.647563119,0.609769796,-1.227919693,2.212164626,-0.000253717,-1.009916046,1.492548128,5.44E-15,4,3.565052047,n4,52.43115676,225.7350543,114.0712882,106.3984542,84.30201972,161.5337713,197.5688432,24.2649457,135.9287118,143.6015458,165.6979803,88.4662287
Ctaxi_contig_26758|comp34177_c1_seq3,1.724340809,-0.283550851,-1.184736009,-0.109735252,0.436694489,-0.583013186,1.240465638,-0.959317067,-1.444707426,-0.441019196,-0.031819354,-6.11E-16,1,1.735245208,n1,229.9963642,106.6614956,51.30614195,117.3381295,150.9026099,88.26700332,20.0036358,143.3385044,198.6938581,132.6618705,99.0973901,161.7329967
Ctaxi_contig_48453|comp36039_c0_seq5,1.504860667,-0.462750239,0.172784171,0.674439477,-1.299450061,-0.589884015,-0.191648247,-2.04036344,0.506533939,-0.275394113,1.211391684,7.11E-15,3,2.377168025,n3,216.514783,95.65416222,134.6919024,165.5061104,44.25982426,87.84496222,33.485217,154.3458378,115.3080976,84.4938896,205.7401757,162.1550378
Ctaxi_contig_38337|comp35318_c0_seq34,1.852736142,0.348128126,-0.254125584,-0.75560808,-0.820572142,-0.370558462,-0.645431165,-1.11187893,-0.952181662,-1.320289341,0.895797129,5.11E-15,3,0.936629748,n3,237.8830554,145.4624156,108.4689445,77.66535135,73.67492985,101.3170478,12.1169446,104.5375844,141.5310555,172.3346487,176.3250702,148.6829522
Ctaxi_contig_36069|comp35116_c1_seq1,0.450759422,0.677374898,-1.712571223,0.406383915,0.871356244,-0.693303256,1.884464724,0.956099597,-1.271191622,-0.829512935,0.470831791,8.33E-16,1,3.417155665,n1,151.7665493,165.6864188,18.88383151,149.040781,177.6017349,81.49242899,98.2334507,84.3135812,231.1161685,100.959219,72.3982651,168.507571
Ctaxi_contig_66996|comp37073_c3_seq1,1.556478294,0.252478335,-0.491294658,-1.50069544,0.050151657,0.132881811,-0.580656965,-0.446632185,-1.769767476,-0.993424724,-0.183409223,-2.16E-15,3,2.003709849,n3,219.6853989,139.5871213,93.90081953,31.8983145,127.1591927,132.2408975,30.3146011,110.4128787,156.0991805,218.1016855,122.8408073,117.7591025
Ctaxi_contig_22706|comp33702_c1_seq3,-0.422712313,-0.550104269,-0.485392077,1.732343335,0.65176274,-0.925897416,2.094658891,-0.061216042,0.890533691,0.522572921,-0.166742894,1.05E-15,2,0.405981439,n2,98.11349429,90.28843557,94.26338593,230.4879198,164.1131904,67.20531843,151.8865057,159.7115644,155.7366141,19.5120802,85.8868096,182.7946816
Ctaxi_contig_42242|comp35619_c1_seq3,0.928194843,0.812791352,-0.238306991,-1.830351415,0.256473805,0.071198406,-0.857772484,0.502498049,-1.619052691,-1.561104276,-0.349323587,-8.19E-16,3,4.453021988,n3,181.0930493,174.0043828,109.4406025,11.64917598,139.8325433,128.4519905,68.9069507,75.9956172,140.5593975,238.350824,110.1674567,121.5480095
Ctaxi_contig_71634|comp37256_c9_seq1,-0.460006569,0.083337911,1.757680366,-1.085782294,-0.632127392,0.336897979,-2.173320434,-0.042638304,0.964275879,-0.555183073,-0.637470974,6.94E-16,5,0.705609329,n5,95.82269232,129.1976604,232.0442485,57.38437998,85.2501602,144.7726031,154.1773077,120.8023396,17.9557515,192.61562,164.7498398,105.2273969
Ctaxi_contig_9835|comp31223_c0_seq8,0.061129033,-0.76085726,-0.735776383,1.656967622,0.63288397,-0.854346982,2.203542306,-0.497961284,0.49588314,0.679899627,-0.147647271,1.11E-16,2,0.915053467,n2,127.8334787,77.34292015,78.88351456,225.857962,162.9535608,71.60030823,122.1665213,172.6570799,171.1164854,24.142038,87.0464392,178.3996918
Ctaxi_contig_64462|comp36964_c0_seq6,-0.064251154,0.409288819,-0.719138489,-1.194696274,-0.124813453,1.693610552,-1.31073153,0.992662104,-1.612490797,0.462286985,0.288857571,-5.88E-15,6,1.098698306,n6,120.131993,149.2192149,79.90549822,50.69433206,116.4119501,228.1087563,129.868007,100.7807851,170.0945018,199.3056679,133.5880499,21.8912437
